"","Year","CA_ff_total","CA_renew","CO_ff_total","CO_renew","CA_ratio","CO_ratio","CA_BA_cap","CO_BA_cap"
"1",2016,5597.9,1059.6,1271.9,158.9,5.28,8,242.3,0
"2",2020,4844.9,1140.5,1209.3,194.3,4.25,6.22,919.4,26.7
