"Utility ID","Utility Name","Plant Code","Plant Name","State","County","Generator ID","Status","Technology","Prime Mover","Sector Name","Sector","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Nameplate Energy Capacity (MWh)","Maximum Charge Rate (MW)","Maximum Discharge Rate (MW)","Storage Technology 1","Storage Technology 2","Storage Technology 3","Storage Technology 4","Nameplate Reactive Power Rating","Storage Enclosure Type","Arbitrage","Frequency Regulation","Load Following","Ramping / Spinning Reserve","Co-Located Renewable Firming","Transmission and Distribution Deferral","System Peak Shaving","Load Management","Voltage or Reactive Power Support","Backup Power","Excess Wind and Solar Generation"
11204,"Los Alamos County",58256,"Los Alamos PV Site","NM","Los Alamos","3","OP","Batteries","BA","Electric Utility",1,0.8,0.8,0.8,9,2012,2.3,0.8,0.8,"PBB",NA,NA,NA,600,"CS",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
10433,"Kodiak Electric Assn Inc",58405,"ESS Battery","AK","Kodiak Island","1","OP","Batteries","BA","Electric Utility",1,3,3,3,11,2012,3,3,3,"PBB",NA,NA,NA,3,"CS","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y"
58462,"Battery Utility of Ohio LLC",58475,"Battery Utility of Ohio","OH","Delaware","BOU","OP","Batteries","BA","IPP Non-CHP",2,4,4,4,3,2014,34.2,35.4,36.4,"LIB",NA,NA,NA,0,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
58489,"OCI Solar Power",58537,"OCI Alamo Solar I","TX","Bexar","ASTRO","OP","Batteries","BA","IPP Non-CHP",2,1,1,1,8,2016,0.3,1,1,"LIB",NA,NA,NA,0,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
13781,"Northern States Power Co - Minnesota",58579,"Laverne Battery","MN","Rock","1","OP","Batteries","BA","Electric Utility",1,1.1,1,1,1,2013,7.6,1,1,"NAB",NA,NA,NA,1.3,"CS",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
58549,"County of Alameda GSA",58625,"Santa Rita Jail","CA","Alameda","SRJBA","OP","Batteries","BA","IPP Non-CHP",2,2,2,2,7,2012,4,0.3,0.3,"LIB",NA,NA,NA,2,"CS",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA
10071,"Kauai Island Utility Cooperative",58639,"KRS I Anahola Solar","HI","Kauai","B5B6","OP","Batteries","BA","Electric Utility",1,6,6,6,8,2015,4.6,0.7,6,"LIB",NA,NA,NA,6,"CS",NA,"Y",NA,NA,"Y",NA,NA,NA,NA,"Y","Y"
10071,"Kauai Island Utility Cooperative",58640,"KRS II Koloa Solar","HI","Kauai","BESS3","OP","Batteries","BA","Electric Utility",1,1.5,1.5,1.5,6,2014,1,0.7,1.5,"PBB",NA,NA,NA,1.5,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
58702,"AES Energy Storage",58826,"AES ES Tait","OH","Montgomery","TTES","OP","Batteries","BA","IPP Non-CHP",2,20,20,20,9,2013,4,20,20,"LIB",NA,NA,NA,20,"CS",NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA
15473,"Public Service Co of NM",58899,"Prosperity Energy Storage Facility","NM","Bernalillo","GEN-2","OP","Batteries","BA","Electric Utility",1,0.8,0.8,0.8,9,2011,1.3,0.5,0.5,"PBB",NA,NA,NA,0,"CS","Y",NA,NA,NA,NA,NA,"Y","Y",NA,NA,"Y"
